BANK,IFSC,MICR CODE,BRANCH,CITY,DISTRICT,STATE
SBI,SBIN0000247,788002506,HAFLONG,HAFLONG,N.C.HILLS,ASSAM
SBI,SBIN0000248,212002005,KHAGA,FATEHPUR,FATEHPUR,UTTAR PRADESH
SBI,SBIN0000249,600002056,TRIPLICANE,CHENNAI,CHENNAI,TAMIL NADU
SBI,SBIN0000250,515002009,DHARMAVARAM,DHARMAVARAM,ANANTPUR,ANDHRA PRADESH
SBI,SBIN0000251,515002301,MADAKASIRA,MADAKASIRA,ANANTPUR,ANDHRA PRADESH
SBI,SBIN0000252,635002004,VANIYAMBADI,VANIYAMBADI,VELLORE,TAMIL NADU
SBI,SBIN0000253,625002003,TALLAKULAM,MADURAI,MADURAI,TAMIL NADU
SBI,SBIN0000254,591002126,PARASGAD SAUNDATTI,SAUNDATTI,BELGAUM,KARNATAKA
SBI,SBIN0000255,531002004,CHODAVARAM,CHODAVARAM,VISHAKAPATNAM,ANDHRA PRADESH
SBI,SBIN0000256,591002001,CHIKODI,CHIKODI,MADIKERI,KARNATAKA
SBI,SBIN0000257,679002002,OTTAPALAM,OTTAPALAM,PALAKKAD,KERALA
SBI,SBIN0000258,625002021,MELUR,MELUR,MADURAI,TAMIL NADU
SBI,SBIN0000259,581002078,HONAVAR,HONAVAR,UTTARA KANNADA,KARNATAKA
SBI,SBIN0000260,581002111,HIREKERUR,HIREKERUR,HAVERI,KARNATAKA
SBI,SBIN0000261,610002002,NANNILAM,NANNILAM,TIRUVARUR,TAMIL NADU
SBI,SBIN0000262,676002002,TIRUR,TIRUR,MALAPURAM,KERALA
SBI,SBIN0000263,591002102,BAILHONGAL,BAILHONGAL,BELGAUM,KARNATAKA
SBI,SBIN0000264,606002040,POLUR,POLUR,TIRUVANNAMALAI,TAMIL NADU
SBI,SBIN0000265,600002067,AMBATTUR INDUSTRIAL ESTATE CHENNAI,CHENNAI,CHENNAI,TAMIL NADU
SBI,SBIN0000266,517002016,PALMANER,PALAMANER,CHITTOR,ANDHRA PRADESH
SBI,SBIN0000267,604002001,CHEYYAR,TIRUVANNAMALAI,TIRUVANNAMALAI,TAMIL NADU
SBI,SBIN0000268,523002011,PODILI,PODILI,PRAKASAM,ANDHRA PRADESH
SBI,SBIN0000269,581002076,BHATKAL,BHATKAL,UTTARA KANNADA,KARNATAKA
SBI,SBIN0000270,416002753,HATKALANGDA,ICHALKARNJI,KOLHAPUR,MAHARASHTRA
SBI,SBIN0000271,413002924,SANGOLA,SANGOLA,SHOLAPUR,MAHARASHTRA
SBI,SBIN0000272,425002876,YAWAL,YAVAL,JALGAON,MAHARASHTRA
SBI,SBIN0000273,389002009,JHALOD,JHALOD,DAHOD,GUJARAT
SBI,SBIN0000274,412002889,MAHABALESHWAR,MAHABALESHWAR,SATARA,MAHARASHTRA
SBI,SBIN0000275,416002848,DEVGAD,DEVGAD,SINDUDURG,MAHARASHTRA
SBI,SBIN0000276,402002893,MANGAON,MANGAON,RAIGAD,MAHARASHTRA
SBI,SBIN0000277,389002010,KALOL (PMS),KALOL,PANCH MAHALS,GUJARAT
SBI,SBIN0000278,444002884,MORSHI,MORSHI,AMRAVATI,MAHARASHTRA
SBI,SBIN0000279,412002861,SHIRUR GHODNADI,SHIRUR,PUNE,MAHARASHTRA
